Date,Open,High,Low,Close,Volume,Chg%
7/2/2020,75.465,75.534,74.637,74.75,5400,-0.98%
7/3/2020,74.725,75.03,74.582,74.636,3910,-0.15%
7/6/2020,74.636,74.827,74.488,74.635,6100,0.00%
7/7/2020,74.65,74.984,74.645,74.81,5590,0.23%
7/8/2020,74.835,75.084,74.825,74.945,5110,0.18%
7/9/2020,74.935,75.166,74.902,75.155,6150,0.28%
7/10/2020,75.165,75.34,75.141,75.195,4640,0.05%
7/13/2020,75.195,75.237,75.082,75.212,5960,0.02%
7/14/2020,75.275,75.535,75.268,75.407,6850,0.26%
7/15/2020,75.325,75.38,75.05,75.125,7090,-0.37%
7/16/2020,75.115,75.295,75.107,75.18,5250,0.07%
7/17/2020,75.2,75.255,74.897,74.897,5940,-0.38%
7/20/2020,74.898,75.033,74.735,74.75,5890,-0.20%
7/21/2020,74.725,74.875,74.516,74.54,6010,-0.28%
7/22/2020,74.543,74.872,74.509,74.61,4200,0.09%
7/23/2020,74.625,74.961,74.6,74.815,5880,0.27%
7/24/2020,74.908,74.985,74.697,74.76,6190,-0.07%
7/27/2020,74.76,74.902,74.665,74.8,4720,0.05%
7/28/2020,74.785,74.943,74.707,74.909,6410,0.15%
7/29/2020,74.87,74.949,74.676,74.948,6580,0.05%
7/30/2020,74.83,74.967,74.795,74.877,5590,-0.10%
7/31/2020,74.75,74.939,74.685,74.918,5490,0.06%
8/3/2020,74.918,75.314,74.863,75.185,4960,0.36%
8/4/2020,75.165,75.214,74.962,75.062,3640,-0.16%
8/5/2020,74.982,75.03,74.763,74.798,6170,-0.35%
8/6/2020,74.875,75.017,74.777,74.9,5710,0.14%
8/7/2020,75.073,75.112,74.891,75.025,5550,0.17%
8/10/2020,75.025,75.025,74.857,74.87,1030,-0.21%
8/11/2020,74.855,74.887,74.522,74.61,3190,-0.35%
8/12/2020,74.615,74.935,74.615,74.79,3340,0.24%
8/13/2020,74.775,74.933,74.769,74.811,2870,0.03%
8/14/2020,74.89,74.978,74.734,74.874,3210,0.08%
8/17/2020,74.903,74.921,74.715,74.743,3090,-0.17%
8/18/2020,74.74,74.886,74.575,74.57,3220,-0.23%
8/19/2020,74.655,74.935,74.628,74.846,3520,0.37%
8/20/2020,74.973,75.132,74.935,75.012,3700,0.22%
8/21/2020,74.98,75.005,74.82,74.92,3160,-0.12%
8/24/2020,74.922,74.922,73.962,74.168,4900,-1.00%
8/25/2020,74.1,74.517,74.07,74.202,6790,0.05%
8/26/2020,74.225,74.459,74.193,74.217,6880,0.02%
8/27/2020,74.29,74.37,73.782,73.894,4040,-0.44%
8/28/2020,73.827,73.878,73.116,73.114,6660,-1.06%
8/31/2020,73.115,73.702,73.05,73.254,4530,0.19%
9/1/2020,73.215,73.225,72.753,73.002,6380,-0.34%
9/2/2020,73.143,73.32,72.893,73.268,7790,0.36%
9/3/2020,73.225,73.57,73.151,73.389,6890,0.17%
9/4/2020,73.48,73.505,73.006,73.289,7230,-0.14%
9/7/2020,73.291,73.508,73.027,73.444,7290,0.21%
9/8/2020,73.63,73.974,73.385,73.74,8430,0.40%
9/9/2020,73.787,73.832,73.31,73.3,7930,-0.60%
9/10/2020,73.462,73.508,73.155,73.43,7660,0.18%
9/11/2020,73.535,73.628,73.405,73.43,5870,0.00%
9/14/2020,73.48,73.605,73.265,73.37,1140,-0.08%
9/15/2020,73.395,73.735,73.312,73.6,4290,0.31%
9/16/2020,73.595,73.779,73.47,73.545,4400,-0.07%
9/17/2020,73.715,73.784,73.581,73.6,3840,0.07%
9/18/2020,73.475,73.613,73.144,73.538,4470,-0.08%
9/21/2020,73.535,73.649,73.26,73.57,3600,0.04%
9/22/2020,73.575,73.645,73.385,73.51,3360,-0.08%
9/23/2020,73.503,73.635,73.43,73.57,1880,0.08%
9/24/2020,73.835,74.055,73.765,73.9,3900,0.45%
9/25/2020,73.735,73.788,73.566,73.67,2960,-0.31%
9/28/2020,73.685,73.862,73.526,73.75,5660,0.11%
9/29/2020,73.785,73.918,73.716,73.75,3480,0.00%
9/30/2020,73.817,73.865,73.522,73.56,3860,-0.26%
10/1/2020,73.595,73.61,73.021,73.193,3980,-0.50%
10/2/2020,73.239,73.45,73.239,73.29,170,0.13%
10/5/2020,73.295,73.481,73.07,73.11,3390,-0.25%
10/6/2020,73.093,73.518,73.093,73.434,3370,0.44%
10/7/2020,73.55,73.613,73.254,73.33,4810,-0.14%
10/8/2020,73.33,73.381,73.185,73.29,5080,-0.05%
10/9/2020,73.15,73.265,72.969,73.01,4220,-0.38%
10/12/2020,73.015,73.428,73.015,73.363,3960,0.48%
10/13/2020,73.351,73.475,73.245,73.4,4090,0.05%
10/14/2020,73.395,73.466,73.193,73.24,5370,-0.22%
10/15/2020,73.295,73.52,73.204,73.42,5150,0.25%
10/16/2020,73.407,73.451,73.255,73.442,4910,0.03%
10/19/2020,73.444,73.444,73.289,73.35,3200,-0.13%
10/20/2020,73.342,73.558,73.295,73.44,4580,0.12%
10/21/2020,73.44,73.763,73.357,73.59,4320,0.20%
10/22/2020,73.68,73.808,73.519,73.66,4650,0.10%
10/23/2020,73.645,73.887,73.471,73.829,2870,0.23%
10/26/2020,73.842,74.115,73.692,73.96,4160,0.18%
10/27/2020,73.938,74.021,73.599,73.622,4550,-0.46%
10/28/2020,73.729,74.271,73.647,74.18,5790,0.76%
10/29/2020,74.23,74.533,73.938,74.37,6740,0.26%
10/30/2020,74.32,74.712,74.24,74.554,2940,0.25%
